Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Voss,Bollinger,Linear Regression Curve
2022-01-15 00:00:00,43059.96,43174.0,42907.0,43100.01,776.16721,1642208399999,33399263.0466314,30347,390.07658,16785696.7576752,-93.83099663695128,0.6464070122342135,43049.9736
2022-01-15 01:00:00,43100.0,43150.0,42864.49,42967.8,712.20009,1642211999999,30624620.9399649,26843,323.43435,13906574.3780779,-126.2611295674472,0.5831362580304166,43088.13827692308
2022-01-15 02:00:00,42967.8,43090.0,42910.36,43090.0,659.69825,1642215599999,28365923.3914264,24942,299.26388,12869522.7190648,-142.94667515387405,0.627009153316887,43116.63006153846
2022-01-15 03:00:00,43089.99,43121.05,42905.07,42927.96,825.12891,1642219199999,35501201.9275401,26171,389.24154,16747285.7322673,-151.71828517448049,0.5524179258857369,43147.97827692308
2022-01-15 04:00:00,42927.95,42961.46,42712.94,42907.71,1023.29118,1642222799999,43854254.6614221,31303,448.90479,19238012.6493861,-163.64221159714037,0.5387174393519628,43160.8200923077
2022-01-15 05:00:00,42907.72,43050.0,42820.68,42985.96,590.35999,1642226399999,25345473.9358183,24480,287.54605,12345342.0312685,-102.65671463848432,0.5674670694279665,43161.4312
2022-01-15 06:00:00,42985.97,43099.81,42873.53,43068.4,714.87178,1642229999999,30724260.6771567,23937,367.1676,15779800.7491261,-26.027484319422584,0.6001020475644976,43175.73273846154
2022-01-15 07:00:00,43068.4,43093.17,42928.78,43088.12,532.25493,1642233599999,22889472.8377376,25950,265.80802,11430892.0577443,32.93729531505005,0.6030858441449962,43216.81323076923
2022-01-15 08:00:00,43088.12,43117.18,42956.0,42983.95,691.57797,1642237199999,29762502.0785723,23901,266.92228,11489504.2449877,43.89242668727832,0.5523118625881012,43252.48953846154
2022-01-15 09:00:00,42983.94,43088.99,42884.01,43061.7,599.96966,1642240799999,25777130.3197532,25912,287.65911,12360223.8028757,61.41102667612151,0.5764449459170067,43257.87818461539
2022-01-15 10:00:00,43061.7,43283.83,43002.02,43096.75,805.08877,1642244399999,34751179.2107726,30045,416.22587,17965750.0828625,100.15435460681626,0.5830644783097999,43260.79732307692
2022-01-15 11:00:00,43096.75,43108.65,42958.67,43017.59,503.07822,1642247999999,21651363.4361512,25140,242.60037,10440720.0631543,91.84213594395317,0.532846078066074,43266.28372307692
2022-01-15 12:00:00,43017.59,43039.72,42555.0,42715.56,1441.46489,1642251599999,61700499.1317717,46037,681.61964,29178546.6988723,17.0351393458961,0.3748308612243461,43216.91553846153
2022-01-15 13:00:00,42715.57,42973.28,42641.01,42906.51,846.44473,1642255199999,36255569.9692249,33360,446.55262,19125204.6679547,11.169622589950215,0.4424340467368171,43108.32436923077
